"id";"itemID";"filename";"title";"titleAttribute";"hits"
"157";"1037";"Plaza_Shoppes___Voorhees.pdf";"Fact Sheet";"Plaza_Shoppes___Voorhees.pdf";"73"
"392";"1038";"Towne_Center_II_-_Lindenwold.pdf";"Fact Sheet";"Towne_Center_II_-_Lindenwold.pdf";"228"
"159";"1039";"200_300_White_Horse_Road___investment.pdf";"Fact Sheet";"200_300_White_Horse_Road___investment.pdf";"667"
"160";"1041";"5581_Route_42___Turnersville.pdf";"Fact Sheet";"5581_Route_42___Turnersville.pdf";"431"
"161";"1040";"5581_Route_42___Turnersville_1.pdf";"Fact Sheet";"5581_Route_42___Turnersville_1.pdf";"168"
"428";"1042";"245_N._Black_Horse_Pike.pdf";"Fact Sheet";"245_N._Black_Horse_Pike.pdf";"145"
"163";"1051";"800BHPRunnemedeBrochure.pdf";"Fact Sheet";"800BHPRunnemedeBrochure.pdf";"404"
"405";"1052";"1274_N._Church_Street_Moorestown_-_Lease.pdf";"Fact Sheet";"1274_N._Church_Street_Moorestown_-_Lease.pdf";"352"
"165";"1053";"Centrum_Shoppes___219_225_Berlin_Road.pdf";"Fact Sheet";"Centrum_Shoppes___219_225_Berlin_Road.pdf";"78"
"312";"1054";"Route_130_South_Delran.pdf";"Fact Sheet";"Route_130_South_Delran.pdf";"423"
"340";"1055";"320_Haddon_Avenue_Haddon_Twp.pdf";"Fact Sheet";"320_Haddon_Avenue_Haddon_Twp.pdf";"369"
"168";"1056";"1753_Route_70_East_Cherry_Hill.pdf";"Fact Sheet";"1753_Route_70_East_Cherry_Hill.pdf";"416"
"169";"1057";"2348_Route_70_West_Cherry_Hill.pdf";"Fact Sheet";"2348_Route_70_West_Cherry_Hill.pdf";"629"
"310";"1059";"26_Tanner_Street_Haddonfield.pdf";"Fact Sheet";"26_Tanner_Street_Haddonfield.pdf";"227"
"259";"1060";"2_S_White_Horse_Pike.pdf";"Fact Sheet";"2_S_White_Horse_Pike.pdf";"3"
"260";"1061";"1585_Route_73_Pennsauken.pdf";"Fact Sheet";"1585_Route_73_Pennsauken.pdf";"2"
"262";"1062";"1585_Route_73_Pennsauken_1.pdf";"Fact Sheet";"1585_Route_73_Pennsauken_1.pdf";"3"
"347";"1063";"1236_Brace_Road_Suite_A_Cherry_Hill.pdf";"Fact Sheet";"1236_Brace_Road_Suite_A_Cherry_Hill.pdf";"130"
"298";"1064";"507_N_Main_Street_Glassboro.pdf";"Fact Sheet";"507_N_Main_Street_Glassboro.pdf";"220"
"265";"1066";"212_Route_38_Moorestown.pdf";"Fact Sheet";"212_Route_38_Moorestown.pdf";"340"
"266";"1067";"50_S_Maple_Ave_Evesham.pdf";"Fact Sheet";"50_S_Maple_Ave_Evesham.pdf";"224"
"423";"1068";"737_Main_Street_Lumberton.pdf";"Fact Sheet";"737_Main_Street_Lumberton.pdf";"179"
"270";"1058";"Towne_Center_I_and_II_-_Lindenwold_-_Sale.pdf";"Fact Sheet";"Towne_Center_I_and_II_-_Lindenwold_-_Sale.pdf";"144"
"329";"1070";"15_N_Pine_Avenue.pdf";"Fact Sheet";"15_N_Pine_Avenue.pdf";"496"
"276";"1071";"1040_Route_73_Berlin.pdf";"Fact Sheet";"1040_Route_73_Berlin.pdf";"340"
"277";"1072";"23_E_Main_Street_Marlton.pdf";"Fact Sheet";"23_E_Main_Street_Marlton.pdf";"70"
"278";"1073";"34_East_Main_Street_Marlton.pdf";"Fact Sheet";"34_East_Main_Street_Marlton.pdf";"704"
"390";"1074";"523_Hollywood_Avenue_Cherry_Hill.pdf";"Fact Sheet";"523_Hollywood_Avenue_Cherry_Hill.pdf";"187"
"333";"1075";"2051_Springdale_Road_Cherry_Hill.pdf";"Fact Sheet";"2051_Springdale_Road_Cherry_Hill.pdf";"423"
"283";"1076";"217_Main_Street_Mullica_Hill.pdf";"Fact Sheet";"217_Main_Street_Mullica_Hill.pdf";"246"
"284";"1077";"1002_Lincoln_Dr_W_Marlton.pdf";"Fact Sheet";"1002_Lincoln_Dr_W_Marlton.pdf";"551"
"332";"1078";"113_East_Laurel_Road_Stratford.pdf";"Fact Sheet";"113_East_Laurel_Road_Stratford.pdf";"202"
"287";"766";"110KressonGibsVoorheesBrochure.pdf";"Fact Sheet";"110KressonGibsVoorheesBrochure.pdf";"341"
"289";"1080";"2701_Route_42_Washington_Township.pdf";"Fact Sheet";"2701_Route_42_Washington_Township.pdf";"593"
"355";"1089";"115_Evesboro_Medford_Road_Marlton.pdf";"Fact Sheet";"115_Evesboro_Medford_Road_Marlton.pdf";"105"
"292";"1090";"5519_Westfield_Avenue_Pennsauken.pdf";"Fact Sheet";"5519_Westfield_Avenue_Pennsauken.pdf";"178"
"301";"1091";"Meetinghouse_Square_Marlton.pdf";"Fact Sheet";"Meetinghouse_Square_Marlton.pdf";"236"
"297";"1028";"Suite_106-108_Floor_Plan.pdf";"Floor Plan";"Suite_106-108_Floor_Plan.pdf";"483"
"302";"1092";"214_Cherry_Ave_Voorhees.pdf";"Fact Sheet";"214_Cherry_Ave_Voorhees.pdf";"175"
"305";"1093";"21_Twosome_Drive_Moorestown.pdf";"Fact Sheet";"21_Twosome_Drive_Moorestown.pdf";"256"
"306";"1095";"30_Elm_Avenue_Woodbury_Heights.pdf";"Fact Sheet";"30_Elm_Avenue_Woodbury_Heights.pdf";"547"
"307";"1094";"1132_Cooper_Street_Deptford.pdf";"Fact Sheet";"1132_Cooper_Street_Deptford.pdf";"720"
"308";"1096";"1160_White_Horse_Road_Voorhees.pdf";"Fact Sheet";"1160_White_Horse_Road_Voorhees.pdf";"503"
"309";"1097";"1160_White_Horse_Road_Voorhees_1.pdf";"Fact Sheet";"1160_White_Horse_Road_Voorhees_1.pdf";"495"
