"95";"850";"DEFAULT UNIT";"26000.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"5233.00";"25.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 5233.00, Lot:,25.00";"Immediate";;"0.00";"1"
"96";"774";"DEFAULT UNIT";"8530.00";"800000.00";"inclusive";"10.00";"sqft";;;;"0.00";"sqft";;"26000";"48.00";"2.00";"0.00";;;"0.00";"18 spaces";;"0.00";;;"0";"Block: 48, Lot:,2";"Immediate";;"0.00";"1"
"97";"775";"DEFAULT UNIT";"1700";"495000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"14000";"11.00";"7.00";"0.00";;;"0.00";"20 +/- spaces";;"0.00";;;"0";"Block: 11.00, Lot:,7.00";"Immediate";;"0.00";"1"
"98";"794";"DEFAULT UNIT";"0.00";"1300000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"15000";"74.00";"12.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 74, Lot:,12";;;"0.00";"1"
"99";"776";"Unit 110-111";"2000.00";"510000.00";"inclusive";"16.00";"sqft";;;"utilities";"0.00";"sqft";;"12100";"0.00";"0.00";"3000.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"0"
"100";"776";"Unit 109";"1000.00";"510000.00";"inclusive";"16.00";"sqft";;;"utilities";"0.00";"sqft";;"12100";"0.00";"0.00";"3000.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"0"
"101";"847";"DEFAULT UNIT";"5000-15000";"0.00";"inclusive";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"1"
"102";"777";"DEFAULT UNIT";"5000-30000";"0.00";"inclusive";"15.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 0.00, Lot:,0.00";"Immediate";;"0.00";"1"
"103";"778";"DEFAULT UNIT";"1200.00";"270000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"82.00";"2.00";"0.00";;;"0.00";"6:1000";;"0.00";;;"0";"Block: 82.100, Lot:,2";"Immediate";;"0.00";"1"
"104";"851";"DEFAULT UNIT";"1803.00";"1750000.00";"inclusive";"16.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";"6:1000";;"0.00";;;"0";"Block: , Lot:,";;;"0.00";"1"
"106";"781";"DEFAULT UNIT";"2100";"0.00";"inclusive";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";"70140.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 0.00, Lot:,0.00";"Immediate";;"0.00";"1"
"108";"783";"DEFAULT UNIT";"6000.00";"675000.00";"inclusive";"16.00";"sqft";;;"nnn";"0.00";"sqft";;;"116.00";"11.00";"0.00";;;"0.00";"6:1000";;"0.00";;;"0";"Block: 116.39, Lot:,11";"Immediate";;"0.00";"1"
"109";"784";"DEFAULT UNIT";"4000";"550000.00";"inclusive";"14.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"1"
"110";"785";"Unit 109";"250.00";"0.00";"inclusive";"525.00";"month";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;"0.00";"1"
"111";"785";"Unit 2";"300.00";"0.00";"inclusive";"525.00";"month";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;"0.00";"1"
"112";"785";"Unit 101";"1000.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"0"
"115";"795";"DEFAULT UNIT";"0.00";"2500000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"33380";"2301.00";"1.00";"60";;;"0.00";;;"0.00";;;"0";"Block: 2301.00, Lot:,1.00";;;"0.00";"1"
"116";"787";"DEFAULT UNIT";;"3000000.00";"inclusive";"200000.00";"sqft";;;;"0.00";"sqft";;;"0.00";"0.00";"4.7";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"1"
"119";"746";"DEFAULT UNIT";"6412";"700000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"44.00";"2";;;;"0.00";;;"0.00";;;"0";"Block: 44.00, Lot:,2";;;;"1"
"120";"826";"Restaurant Bar";"11951";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"55.00";"6.03, 7, 7";;;"Liquor license available.";"0.00";"150 spaces";;"0.00";;;"0";"Block: 55.00, Lot:,6.03, 7, 7";"Immediate";;;"1"
"121";"826";"Banquet Facility";"6173";"900000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"55.00";"6.03, 7, 7";;;"Liquor license available.	";"0.00";"150 spaces";;"0.00";;;"0";"Block: 55.00, Lot:,6.03, 7, 7";"Immediate";;;"1"
"124";"811";"DEFAULT UNIT";;"495000.00";"inclusive";"4000.00";"month";;;;"0.00";"sqft";;"7866";"120.00";"8";;;;"0.00";;;"0.00";;;"0";"Block: 120, Lot:,8";;;;"1"
"125";"806";"Suite 1";"3800";"0.00";"inclusive";"18.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,";;;;"0"
"126";"806";"Suite 2";"1500-3100";"0.00";"inclusive";"18.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,";;;;"0"
"128";"861";"DEFAULT UNIT";"11000";"1550000.00";"inclusive";"0.00";"sqft";;;"nnn";"4.50";"sqft";;;"0.00";;;;;"0.00";"4.0";;"0.00";;;"0";"Block: 0.00, Lot:,";;;;"1"
"131";"941";"DEFAULT UNIT";;"2200000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"85.00";"13";;;;"0.00";;;"0.00";;;"0";"Block: 85.00, Lot:,13";;;;"1"
"132";"732";;"6340";"925000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"339.18";"31";;;;"0.00";;;"0.00";;;"0";"Block: 339.18, Lot:,31";;;;"1"
"133";"764";"Unit B";"1309";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;;"1"
"134";"764";"Total";"3552";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;;"1"
"135";"745";"Unit A";"15300";"1200000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;;"1"
"136";"776";"Total";"3000";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;;"0"
"137";"780";;"4400";"495000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,";;;;"1"
"138";"956";"Test Unit 20110901-01";"100";"1.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";;;;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;;"1"
"139";"959";"100";"2050";"0.00";"inclusive";"18.00";"sqft";;;"electric";"0.00";"sqft";;;"0.00";;;;;"0.00";"4.0";;"0.00";;;"0";"Block: 0.00, Lot:,";;;;"1"
